P18,P20,P21,P22,P23A,P23B,P24_num,P25,P27,P28,P15_bin
Hombre,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,,No votó,Aragón y Logroño,Menos o igual a 2.000 habitantes,1.0
Mujer,48,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,6.0,P.C.E.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,60,Estudios de formación profesional,Católico practicante,Peones y obreros sin cualificar,,6.0,P.S.O.E,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Hombre,21,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Funcionarios de nivel medio,,5.0,P.C.E.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,29,Bachiller elemental,Católico practicante,Obreros cualificados,,4.0,U.C.D,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,55,Bachiller elemental,Católico practicante,Funcionarios de nivel medio,,7.0,P.C.E.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,29,Estudios de grado medio,Católico no practicante,,,,,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Hombre,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,N.C,,6.0,P.C.E.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,55,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,6.0,P.S.O.E,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,47,Estudios de grado medio,Católico no practicante,,,5.0,P.S.O.E,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Hombre,22,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,"Capataces, encargados, contramaestres",Industrial comercial,6.0,No votó,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Mujer,66,Estudios primarios completos. cultural general,,,,8.0,F.D.C.,Galicia y Asturias,50.001 a 100.000 habitantes,1.0
Hombre,42,Estudios primarios completos. cultural general,,,Profesional Liberal,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,21,Estudios primarios completos. cultural general,Católico practicante,"Vendedores, Agentes Comerciales, etc...",Profesional Liberal,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,0.0
Hombre,43,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,"Vendedores, Agentes Comerciales, etc...",,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,57,Universitario o técnicos de grado superior,Católico practicante,,,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,21,Bachiller superior,Católico practicante,,Industrial comercial,,P.S.O.E,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,21,Bachiller superior,Católico practicante,,,,A.P,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,51,Estudios primarios completos. cultural general,Católico no practicante,,Industrial comercial,1.0,No votó,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,70,Universitario o técnicos de grado superior,Católico practicante,,Profesional Liberal,5.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,49,Estudios de formación profesional,Católico practicante,,,7.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,63,"Menos de estudios primarios, sabe leer (menos de 6 años de e",,Funcionarios de nivel alto (titulación superior),Profesional Liberal,,P.S.O.E,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,60,Bachiller superior,Católico practicante,Obreros cualificados,,,U.C.D,Galicia y Asturias,Menos o igual a 2.000 habitantes,1.0
Hombre,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,5.0,U.C.D,Galicia y Asturias,Menos o igual a 2.000 habitantes,1.0
Hombre,24,Estudios primarios completos. cultural general,Católico practicante,,,,No votó,Galicia y Asturias,Menos o igual a 2.000 habitantes,1.0
Hombre,33,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,Agricultor/Propietario,4.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,76,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,Trabajador Independiente,5.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,5.0,,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,21,Bachiller superior,Católico practicante,N.C,,7.0,P.S.O.E,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,48,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,"Vendedores, Agentes Comerciales, etc...",Industrial comercial,3.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,33,Universitario o técnicos de grado superior,Católico practicante,,,4.0,No votó,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,30,Estudios primarios completos. cultural general,Católico practicante,,,6.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,69,Estudios primarios completos. cultural general,Católico practicante,,Trabajador Independiente,5.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,47,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,Agricultor/Propietario,5.0,P.C.E.,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,28,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Agricultor/Propietario,4.0,P.S.O.E,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,6.0,P.N.V.,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,22,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,6.0,D.C,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,36,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,Industrial comercial,4.0,No votó,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,28,Estudios primarios completos. cultural general,Católico practicante,,,,No votó,Galicia y Asturias,2.001 a 10.000 habitantes,0.0
Hombre,21,Estudios primarios completos. cultural general,Católico practicante,Peones y obreros sin cualificar,,,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Mujer,52,Estudios primarios completos. cultural general,Católico practicante,Funcionarios de nivel medio,,5.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,0.0
Hombre,54,Estudios de grado medio,Católico practicante,Funcionarios de nivel medio,,1.0,No votó,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,43,Universitario o técnicos de grado superior,Católico practicante,,,4.0,U.C.D,Galicia y Asturias,2.001 a 10.000 habitantes,1.0
Hombre,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Funcionarios de nivel medio,,,P.S.O.E,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,28,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Personal manual de servicios no cualificados,,8.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Hombre,52,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,7.0,P.S.O.E,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,44,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,6.0,No votó,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Hombre,45,Bachiller superior,Católico practicante,,,5.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,75,Estudios primarios completos. cultural general,Indiferente,,,2.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,49,Estudios primarios completos. cultural general,No creyente,Funcionarios de nivel medio,Industrial comercial,8.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Mujer,48,Bachiller elemental,Católico no practicante,Empleados subalternos,,5.0,,Galicia y Asturias,100.001 a 400.000 habitantes,1.0
Hombre,34,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados a nivel superior,,3.0,U.C.D,Galicia y Asturias,100.001 a 400.000 habitantes,0.0
Mujer,69,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,,,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,53,Estudios primarios completos. cultural general,Católico practicante,Jornaleros del campo,,,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,45,Universitario o técnicos de grado superior,Católico practicante,N.C,,5.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,67,Estudios primarios completos. cultural general,Católico no practicante,,,4.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Mujer,33,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,3.0,U.C.D,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,64,Estudios de grado medio,Católico practicante,,,7.0,,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,50,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,6.0,,Galicia y Asturias,10.001 a 50.000 habitantes,1.0
Hombre,25,Estudios de formación profesional,Católico no practicante,,,8.0,A.P,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,58,Bachiller elemental,Católico practicante,Empleados subalternos,Agricultor/Propietario,6.0,U.C.D,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,22,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Empleados subalternos,,,,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,26,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,,A.P,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Mujer,40,Universitario o técnicos de grado superior,Católico practicante,Obreros cualificados,Agricultor/Propietario,,,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,31,Bachiller superior,Católico practicante,Personal manual de servicios no cualificados,,5.0,,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Mujer,30,Bachiller elemental,Católico practicante,Obreros cualificados,,8.0,No votó,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Mujer,58,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,7.0,P.C.E.,Castilla la Vieja y León,50.001 a 100.000 habitantes,1.0
Hombre,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,,Trabajador Independiente,5.0,P.S.O.E,Castilla la Vieja y León,50.001 a 100.000 habitantes,1.0
Mujer,55,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,4.0,No votó,Castilla la Vieja y León,50.001 a 100.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,5.0,,Castilla la Vieja y León,50.001 a 100.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,Industrial comercial,5.0,No votó,Castilla la Vieja y León,50.001 a 100.000 habitantes,1.0
Hombre,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,4.0,No votó,Castilla la Vieja y León,100.001 a 400.000 habitantes,1.0
Hombre,20,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,6.0,,Castilla la Vieja y León,100.001 a 400.000 habitantes,1.0
Mujer,66,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,7.0,P.S.O.E,Castilla la Vieja y León,100.001 a 400.000 habitantes,1.0
Hombre,29,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,3.0,U.C.D,Castilla la Vieja y León,100.001 a 400.000 habitantes,1.0
Hombre,50,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,7.0,No votó,Castilla la Vieja y León,100.001 a 400.000 habitantes,1.0
Hombre,37,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,N.C,Industrial comercial,6.0,P.S.O.E,Castilla la Vieja y León,100.001 a 400.000 habitantes,1.0
Mujer,23,"Menos de estudios primarios, sabe leer (menos de 6 años de e",,Funcionarios de nivel medio,Industrial comercial,6.0,U.C.D,Castilla la Vieja y León,100.001 a 400.000 habitantes,1.0
Mujer,52,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,9.0,U.C.D,Castilla la Vieja y León,100.001 a 400.000 habitantes,0.0
Hombre,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,,6.0,P.S.O.E,Castilla la Vieja y León,100.001 a 400.000 habitantes,1.0
Hombre,57,Bachiller elemental,Católico practicante,Obreros cualificados,,7.0,U.C.D,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Mujer,58,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Jornaleros del campo,,4.0,P.S.O.E,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Mujer,30,"Menos de estudios primarios, no sabe leer",Indiferente,Jornaleros del campo,,,P.S.O.E,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Hombre,53,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,4.0,P.S.O.E,Castilla la Vieja y León,2.001 a 10.000 habitantes,0.0
Hombre,42,Estudios primarios completos. cultural general,,Peones y obreros sin cualificar,,5.0,A.P,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Hombre,25,Estudios primarios completos. cultural general,Católico practicante,,,5.0,,Castilla la Vieja y León,2.001 a 10.000 habitantes,1.0
Hombre,36,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,1.0,No votó,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,56,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Industrial comercial,5.0,U.C.D,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,34,Estudios de grado medio,Católico practicante,,,5.0,U.C.D,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,20,Estudios primarios completos. cultural general,Católico no practicante,"Capataces, encargados, contramaestres",Trabajador Independiente,1.0,,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,23,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Peones y obreros sin cualificar,Agricultor/Propietario,5.0,No votó,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Hombre,37,Estudios de grado medio,Católico practicante,Obreros cualificados,,4.0,A.P,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,0.0
Hombre,32,Bachiller superior,Católico practicante,Jornaleros del campo,Empresario agrario,,No votó,Castilla la Vieja y León,Menos o igual a 2.000 habitantes,1.0
Mujer,22,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,,,7.0,,Castilla la Nueva y Extremadura,10.001 a 50.000 habitantes,1.0
Hombre,64,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,6.0,P.S.O.E,Castilla la Nueva y Extremadura,10.001 a 50.000 habitantes,0.0
Hombre,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Empleados a nivel superior,,9.0,Otros,Castilla la Nueva y Extremadura,10.001 a 50.000 habitantes,1.0
Mujer,32,Bachiller superior,Católico practicante,Funcionarios de nivel medio,Agricultor/Propietario,7.0,P.S.O.E,Castilla la Nueva y Extremadura,10.001 a 50.000 habitantes,1.0
Hombre,54,Estudios de grado medio,Católico practicante,,,,P.C.E.,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Mujer,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,,6.0,No votó,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Mujer,30,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Otras religiones,,Agricultor/Propietario,4.0,Otros,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,31,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,5.0,U.C.D,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,40,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,7.0,U.C.D,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,34,Universitario o técnicos de grado superior,Católico practicante,Peones y obreros sin cualificar,,4.0,U.C.D,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Mujer,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,Industrial comercial,5.0,,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Mujer,40,Bachiller elemental,Indiferente,Peones y obreros sin cualificar,Industrial comercial,4.0,,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Mujer,70,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Agricultor/Propietario,,P.S.O.E,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,18,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,3.0,P.S.O.E,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,68,"Menos de estudios primarios, no sabe leer",Católico no practicante,Funcionarios de nivel medio,,5.0,P.S.O.E,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,22,Estudios primarios completos. cultural general,Católico no practicante,,,3.0,,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Mujer,69,Estudios de grado medio,,Funcionarios de nivel medio,,3.0,,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,49,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,"Vendedores, Agentes Comerciales, etc...",,5.0,P.S.O.E,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Mujer,21,Estudios primarios completos. cultural general,Católico no practicante,,,3.0,No votó,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Mujer,37,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Indiferente,Jornaleros del campo,Industrial comercial,4.0,U.C.D,Castilla la Nueva y Extremadura,2.001 a 10.000 habitantes,1.0
Hombre,20,Estudios primarios completos. cultural general,Católico practicante,,,5.0,P.C.E.,Castilla la Nueva y Extremadura,10.001 a 50.000 habitantes,1.0
Mujer,51,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,Agricultor/Propietario,6.0,U.C.D,Castilla la Nueva y Extremadura,10.001 a 50.000 habitantes,1.0
Hombre,66,Estudios primarios completos. cultural general,Católico practicante,,,5.0,,Castilla la Nueva y Extremadura,10.001 a 50.000 habitantes,1.0
Hombre,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,,U.C.D,Castilla la Nueva y Extremadura,50.001 a 100.000 habitantes,1.0
Mujer,31,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,,,6.0,U.C.D,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,45,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Otras religiones,Funcionarios de nivel medio,Agricultor/Propietario,5.0,U.C.D,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,24,"Menos de estudios primarios, no sabe leer",Católico no practicante,,,5.0,P.S.O.E,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,18,Estudios de grado medio,Católico practicante,Obreros cualificados,,,U.C.D,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Mujer,18,"Menos de estudios primarios, no sabe leer",Católico practicante,Empleados subalternos,Trabajador Independiente,3.0,P.S.P,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Mujer,59,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Peones y obreros sin cualificar,,9.0,No votó,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,31,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Obreros cualificados,,3.0,,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,58,Estudios primarios completos. cultural general,No creyente,Peones y obreros sin cualificar,,6.0,No votó,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Hombre,36,Bachiller elemental,Católico no practicante,,,7.0,P.S.P,Castilla la Nueva y Extremadura,Menos o igual a 2.000 habitantes,1.0
Mujer,28,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,,5.0,P.S.O.E,Área de Madrid,10.001 a 50.000 habitantes,1.0
Mujer,58,Estudios primarios completos. cultural general,Católico practicante,Suboficiales de las Fuerzas Armadas,,7.0,P.S.O.E,Área de Madrid,10.001 a 50.000 habitantes,1.0
Hombre,46,Bachiller elemental,Católico practicante,Suboficiales de las Fuerzas Armadas,,7.0,P.S.O.E,Área de Madrid,2.001 a 10.000 habitantes,1.0
Mujer,56,Universitario o técnicos de grado superior,Católico no practicante,,,6.0,P.S.P,Área de Madrid,2.001 a 10.000 habitantes,1.0
Hombre,40,Estudios primarios completos. cultural general,Indiferente,,,6.0,No votó,Área de Madrid,50.001 a 100.000 habitantes,0.0
Hombre,55,Estudios de grado medio,Católico no practicante,Empleados subalternos,Agricultor/Propietario,9.0,U.C.D,Área de Madrid,50.001 a 100.000 habitantes,1.0
Mujer,21,Estudios primarios completos. cultural general,Católico no practicante,Obreros cualificados,Agricultor/Propietario,8.0,U.C.D,Área de Madrid,50.001 a 100.000 habitantes,1.0
Hombre,20,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Industrial comercial,5.0,P.C.E.,Área de Madrid,50.001 a 100.000 habitantes,1.0
Hombre,33,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,7.0,U.C.D,Canarias,100.001 a 400.000 habitantes,1.0
Hombre,31,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Funcionarios de nivel medio,,5.0,,Canarias,100.001 a 400.000 habitantes,1.0
Mujer,30,"Menos de estudios primarios, no sabe leer",No creyente,,,5.0,U.C.D,Canarias,100.001 a 400.000 habitantes,1.0
Hombre,30,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,,,6.0,No votó,Canarias,100.001 a 400.000 habitantes,1.0
Mujer,52,Estudios primarios completos. cultural general,No creyente,,,4.0,No votó,Canarias,2.001 a 10.000 habitantes,1.0
Hombre,46,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Obreros cualificados,,,,Canarias,2.001 a 10.000 habitantes,1.0
Hombre,28,Bachiller superior,Católico practicante,,,5.0,No votó,Canarias,2.001 a 10.000 habitantes,1.0
Mujer,41,"Menos de estudios primarios, no sabe leer",Católico practicante,,,,U.C.D,Canarias,50.001 a 100.000 habitantes,1.0
Mujer,70,"Menos de estudios primarios, no sabe leer",Indiferente,,,7.0,P.S.O.E,Canarias,50.001 a 100.000 habitantes,1.0
Hombre,36,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Funcionarios de nivel medio,,4.0,P.S.O.E,Canarias,10.001 a 50.000 habitantes,1.0
Mujer,51,Bachiller elemental,Católico no practicante,Funcionarios de nivel medio,,6.0,No votó,Canarias,10.001 a 50.000 habitantes,0.0
Hombre,35,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Funcionarios de nivel medio,Trabajador Independiente,,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,30,Bachiller superior,Católico no practicante,Funcionarios de nivel medio,Empresario Industrial,7.0,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,50,Estudios de formación profesional,Católico practicante,Funcionarios de nivel medio,,7.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,24,Bachiller superior,Católico no practicante,Funcionarios de nivel medio,,6.0,U.C.D,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,45,Universitario o técnicos de grado superior,Católico practicante,Funcionarios de nivel medio,,7.0,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,25,Universitario o técnicos de grado superior,Católico practicante,Funcionarios de nivel alto (titulación superior),,5.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,70,Bachiller superior,Católico practicante,Funcionarios de nivel medio,,7.0,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,18,Universitario o técnicos de grado superior,No creyente,Empleados a nivel superior,Profesional Liberal,6.0,U.C.D,Área de Madrid,Más de 1.000.000 habitantes,0.0
Mujer,64,Estudios de grado medio,No creyente,,,6.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,52,Universitario o técnicos de grado superior,Católico no practicante,Obreros cualificados,,6.0,P.C.E.,Área de Madrid,Más de 1.000.000 habitantes,0.0
Mujer,22,Estudios de grado medio,Católico no practicante,Obreros cualificados,,9.0,,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,65,Universitario o técnicos de grado superior,No creyente,,,7.0,Otros,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,24,Bachiller elemental,Católico no practicante,Empleados a nivel superior,,9.0,Otros,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,30,Estudios de grado medio,No creyente,Obreros cualificados,Profesional Liberal,8.0,Otros,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,32,Bachiller superior,No creyente,,,9.0,Otros,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,22,Universitario o técnicos de grado superior,No creyente,Funcionarios de nivel medio,,8.0,Otros,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,31,Bachiller elemental,Católico practicante,Empleados subalternos,,7.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,0.0
Mujer,52,Universitario o técnicos de grado superior,Católico practicante,,Trabajador Independiente,7.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,0.0
Hombre,65,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Obreros cualificados,,8.0,P.S.O.E,Área de Madrid,Más de 1.000.000 habitantes,0.0
Mujer,23,Estudios primarios completos. cultural general,Católico practicante,N.C,Profesional Liberal,8.0,No votó,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,37,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,"Vendedores, Agentes Comerciales, etc...",,6.0,,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,34,Bachiller superior,Católico practicante,Peones y obreros sin cualificar,,9.0,P.C.E.,Área de Madrid,Más de 1.000.000 habitantes,1.0
Hombre,21,Bachiller superior,Católico practicante,,,7.0,P.C.E.,Área de Madrid,Más de 1.000.000 habitantes,1.0
Mujer,53,"Menos de estudios primarios, no sabe leer",Otras religiones,,,3.0,P.S.P,Área de Madrid,Más de 1.000.000 habitantes,1.0
