CUES,P1,P2,P301,P302,P4,P5,P6,P701,P702,P703,P704,P705,P706,P707,P708,P709,P710,P801,P802,P803,P804,P805,P806,P807,P9,P1001,P11,P1201,P1202,P1203,P1204,P1205,P1206,P1207,P1208,P1209,P1210,P1211,P1301,P1302,P1303,P1304,P1305,P13BIS01,P13BIS02,P13BIS03,P13BIS04,P13BIS05,P1401,P1402,P1403,P1404,P1405,P1406,P15,P16,P17,P18,P19,P19A,P20,P21,P22,P22A,P23,P24,P25,N1,N2,N3,N4,N5,P27,P28,P23A,P23B,P24_num,P801_num,P802_num,P803_num,P804_num,P805_num,P806_num,P807_num,P20_grupo,P15_bin
749,Un documento para arreglar los problemas económicos,,Televisión,Prensa,Poco/un poco/ nada,Suficiente,1 año,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,6,4,1,,2,,Mucho,,Mucho,,,,,,,,,,,,En desacuerdo,,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,,Positivamente,,Sin influencia,Positivamente,,,Sí,A favor,4,Mujer,Casado,2 Hijos,29,Bachiller elemental,Católico practicante,,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,U.C.D,Mucha,15.0,1.0,Más de 85.000 ptas mensuales,Extrema izquierda,Galicia y Asturias,50.001 a 100.000 habitantes,Obreros cualificados,,4.0,1.0,6.0,4.0,1.0,,2.0,,26-35,1.0
750,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,,,,Suficiente,1 año,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,4,6,2,,1,1,,,,,,,Menciona,,,,,,,,De acuerdo,De acuerdo,De acuerdo,,,,De acuerdo,,En desacuerdo,De acuerdo,,Positivamente,Positivamente,,Positivamente,Sin influencia,,A favor,Extrema izquierda,Mujer,Casado,1 Hijo,61,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,No votó,Poco,15.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,Extrema izquierda,Galicia y Asturias,50.001 a 100.000 habitantes,Jornaleros del campo,,6.0,,4.0,6.0,2.0,,1.0,1.0,56-65,
751,Un documento para arreglar los problemas económicos,,"Charlas con amigos, parientes, etc.",,Poco/un poco/ nada,Insuficiente,,,,,,,,,,,,1,,,,5,3,1,Mucho,,Mucho,Menciona,,,,,,,,,,,,,,N.S,De acuerdo,De acuerdo,,De acuerdo,,,Positivamente,,Positivamente,Positivamente,,Positivamente,Sí,,Extrema izquierda,Mujer,Casado,Ninguno,55,Bachiller elemental,Católico practicante,Nunca,Trabaja por su cuenta,De 46.000 ptas a 65.000 ptas mensuales,P.C.E.,Mucha,15.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,3,Galicia y Asturias,50.001 a 100.000 habitantes,Funcionarios de nivel medio,,7.0,1.0,,,,5.0,3.0,1.0,46-55,1.0
752,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,,Prensa,,Insuficiente,N.S,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,3,6,7,,2,3,Mucho,,,,,,,,,,,,,,De acuerdo,De acuerdo,De acuerdo,,N.S,,De acuerdo,,N.S,De acuerdo,,Sin influencia,Positivamente,Positivamente,Positivamente,Positivamente,,A favor,4,Hombre,Casado,3 Hijos,51,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),,P.S.O.E,Mucha,10.0,1.0,De 66.000 ptas a 85.000 ptas mensuales,3,Galicia y Asturias,50.001 a 100.000 habitantes,Peones y obreros sin cualificar,,,,3.0,6.0,7.0,,2.0,3.0,46-55,
753,Conjunto de principios básicos que regulan la vida de los es,Solo cuando el tema/ o los temas me interesaban de forma esp,Radio,Prensa,Poco/un poco/ nada,,,,,,,,,,,,,1,,,,1,1,1,Mucho,Falta de información,Mucho,Menciona,,,,,,,,,,,,De acuerdo,,De acuerdo,De acuerdo,En desacuerdo,,En desacuerdo,,N.S,Positivamente,,Positivamente,Positivamente,,Positivamente,Sí,,2,Mujer,Soltero,2 Hijos,29,Estudios de grado medio,Católico no practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),,,Bastante,10.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,2,Galicia y Asturias,50.001 a 100.000 habitantes,,,,1.0,,,,1.0,1.0,1.0,26-35,1.0
754,Conjunto de principios básicos que regulan la vida de los es,Regularmente,Televisión,,Poco/un poco/ nada,,8 a 11 meses,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,4,7,1,1,,1,Mucho,,Mucho,,,Menciona,,,,,,,,,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,,Positivamente,Positivamente,Positivamente,Sí,,4,Hombre,Casado,2 Hijos,41,"Menos de estudios primarios, sabe leer (menos de 6 años de e",No creyente,Nunca,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,P.C.E.,Mucha,10.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,2,Galicia y Asturias,50.001 a 100.000 habitantes,N.C,,6.0,1.0,4.0,7.0,1.0,1.0,,1.0,36-45,1.0
755,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Prensa,Sólo una parte,,8 a 11 meses,No menciona,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,5,1,3,7,4,,,Algo,,Mucho,,,,,,,,,,,,De acuerdo,N.S,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,Sin influencia,Positivamente,,Positivamente,Positivamente,,Sí,A favor,2,Mujer,Casado,1 Hijo,55,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,P.S.O.E,Bastante,10.0,1.0,,3,Galicia y Asturias,50.001 a 100.000 habitantes,,,6.0,5.0,1.0,3.0,7.0,4.0,,,46-55,1.0
756,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,Televisión,Televisión,Poco/un poco/ nada,,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,2,6,6,5,3,,,,,Mucho,Menciona,,,Menciona,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Positivamente,Positivamente,,,Positivamente,,Sí,,Extrema izquierda,Mujer,Viudo,1 Hijo,47,Estudios de grado medio,Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,P.S.O.E,Bastante,12.0,1.0,,8,Galicia y Asturias,50.001 a 100.000 habitantes,,,5.0,2.0,6.0,6.0,5.0,3.0,,,46-55,1.0
757,Conjunto de ordenanzas que regulan la Administración español,,Radio,Prensa,Poco/un poco/ nada,Suficiente,N.S,No menciona,No menciona,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,4,5,3,1,,,,,Mucho,,,,Menciona,Menciona,,,,,,,De acuerdo,,N.S,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,Positivamente,,,,,,Sí,A favor,2,Hombre,Casado,1 Hijo,22,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,NC,Está empleado (trabaja por cuenta ajena),De 36.000 ptas a 45.000 ptas mensuales,No votó,Mucha,12.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,3,Galicia y Asturias,50.001 a 100.000 habitantes,"Capataces, encargados, contramaestres",Industrial comercial,6.0,1.0,4.0,5.0,3.0,1.0,,,18-25,1.0
758,Un documento para arreglar los problemas económicos,,,,,,5 a 7 meses,No menciona,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,5,7,5,,1,,,,,,,,,,,,,,,,De acuerdo,,De acuerdo,,,,De acuerdo,,De acuerdo,,,,Positivamente,,,,,A favor,4,Mujer,Casado,Ninguno,23,Estudios primarios completos. cultural general,Católico practicante,Nunca,Está empleado (trabaja por cuenta ajena),,No votó,Mucha,5.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,3,Galicia y Asturias,50.001 a 100.000 habitantes,,,,,5.0,7.0,5.0,,1.0,,18-25,
