CUES,P1,P2,P301,P302,P4,P5,P6,P701,P702,P703,P704,P705,P706,P707,P708,P709,P710,P801,P802,P803,P804,P805,P806,P807,P9,P1001,P11,P1201,P1202,P1203,P1204,P1205,P1206,P1207,P1208,P1209,P1210,P1211,P1301,P1302,P1303,P1304,P1305,P13BIS01,P13BIS02,P13BIS03,P13BIS04,P13BIS05,P1401,P1402,P1403,P1404,P1405,P1406,P15,P16,P17,P18,P19,P19A,P20,P21,P22,P22A,P23,P24,P25,N1,N2,N3,N4,N5,P27,P28,P23A,P23B,P24_num,P801_num,P802_num,P803_num,P804_num,P805_num,P806_num,P807_num,P20_grupo,P15_bin
237,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,3,Mujer,Casado,1 Hijo,38,Estudios primarios completos. cultural general,Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),,P.S.O.E,Bastante,15.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,Extrema izquierda,Levante y Murcia,10.001 a 50.000 habitantes,Jornaleros del campo,,,,,,,,,,36-45,
238,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Mujer,Casado,Ninguno,43,"Menos de estudios primarios, no sabe leer",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),,P.S.O.E,Bastante,15.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,2,Levante y Murcia,10.001 a 50.000 habitantes,Jornaleros del campo,,,,,,,,,,36-45,
239,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,3,Hombre,Soltero,2 Hijos,26,"Menos de estudios primarios, sabe leer (menos de 6 años de e",,,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Poco,0.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,3,Levante y Murcia,10.001 a 50.000 habitantes,Jornaleros del campo,,4.0,,,,,,,,26-35,
240,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,Extrema izquierda,Mujer,Casado,3 Hijos,54,"Menos de estudios primarios, no sabe leer",Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),,U.C.D,Bastante,15.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,Extrema izquierda,Levante y Murcia,10.001 a 50.000 habitantes,Jornaleros del campo,,,,,,,,,,46-55,
241,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,2,Hombre,Casado,1 Hijo,41,"Menos de estudios primarios, no sabe leer",Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,,Bastante,15.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,Extrema izquierda,Levante y Murcia,10.001 a 50.000 habitantes,"Vendedores, Agentes Comerciales, etc...",,4.0,,,,,,,,36-45,
242,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Mujer,Casado,2 Hijos,30,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Poco,15.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,4,Levante y Murcia,10.001 a 50.000 habitantes,Jornaleros del campo,,4.0,,,,,,,,26-35,
243,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,Casado,4 hijos o más,45,"Menos de estudios primarios, no sabe leer",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),,P.S.O.E,Bastante,15.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,Extrema izquierda,Levante y Murcia,10.001 a 50.000 habitantes,Jornaleros del campo,,,,,,,,,,36-45,
244,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,Extrema izquierda,Mujer,Viudo,3 Hijos,72,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),,P.S.O.E,Bastante,15.0,2.0,De 26.000 ptas a 35.000 ptas mensuales,Extrema izquierda,Levante y Murcia,10.001 a 50.000 habitantes,Peones y obreros sin cualificar,,,,,,,,,,66-75,
245,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Extrema izquierda,Mujer,Casado,2 Hijos,32,"Menos de estudios primarios, no sabe leer",Católico practicante,Alguna vez al mes,Está empleado (trabaja por cuenta ajena),,U.C.D,Bastante,15.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,Extrema izquierda,Levante y Murcia,10.001 a 50.000 habitantes,Empleados subalternos,,,,,,,,,,26-35,
246,Un documento para arreglar los problemas económicos,,,N.S/N.C,,,,,,,,,,,,,,,,,,,,,Nada,,,,,,,,Menciona,Menciona,,,,,,,,,,,,,,,,,,,,,,,Extrema izquierda,Mujer,Viudo,Ninguno,64,Estudios primarios completos. cultural general,Católico no practicante,Nunca,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,No votó,Bastante,6.0,2.0,De 19.000 ptas a 25.000 ptas mensuales,4,Levante y Murcia,10.001 a 50.000 habitantes,Obreros cualificados,,5.0,,,,,,,,56-65,
247,Conjunto de principios básicos que regulan la vida de los es,,,,,Suficiente,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,Casado,2 Hijos,55,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,P.C.E.,Bastante,10.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,3,Levante y Murcia,10.001 a 50.000 habitantes,Obreros cualificados,,4.0,,,,,,,,46-55,
248,Conjunto de ordenanzas que regulan la Administración español,Nunca o casi nunca,,,Poco/un poco/ nada,,,,,,,,,,,,,,,,,,,,,,Poco,Menciona,,,Menciona,,,Menciona,,,,,,,,,De acuerdo,,,,,,,,,Positivamente,Positivamente,Sin influencia,,,3,Mujer,Casado,4 hijos o más,29,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Poco,6.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,3,Levante y Murcia,2.001 a 10.000 habitantes,Obreros cualificados,Industrial comercial,4.0,,,,,,,,26-35,
249,Un documento para arreglar los problemas económicos,,Televisión,N.S/N.C,,,1 año,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,,,,,,,,Algo,,,,,,Menciona,,,,,,,,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Positivamente,Negativamente,,,,,Sí,A favor,2,Hombre,Casado,3 Hijos,27,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,P.S.O.E,Bastante,7.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,3,Levante y Murcia,2.001 a 10.000 habitantes,,,4.0,,,,,,,,26-35,1.0
250,Conjunto de principios básicos que regulan la vida de los es,,,N.S/N.C,,Suficiente,,,,,,,,,,,,,,,,,,,Algo,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,Extrema izquierda,Mujer,Casado,4 hijos o más,28,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,,Poco,10.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,3,Levante y Murcia,2.001 a 10.000 habitantes,Peones y obreros sin cualificar,,4.0,,,,,,,,26-35,
251,Conjunto de principios básicos que regulan la vida de los es,Nunca o casi nunca,,,Poco/un poco/ nada,Insuficiente,,,,,,,,,,,,,,,,,2,2,,,Nada,,,,,,,,,,,,,,,,N.S,,,,,,,,,,,Sin influencia,,,3,Hombre,Casado,Ninguno,30,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,U.C.D,Bastante,12.0,1.0,De 6.000 ptas a 11.000 ptas mensuales,3,Levante y Murcia,2.001 a 10.000 habitantes,Obreros cualificados,Trabajador Independiente,5.0,,,,,,2.0,2.0,26-35,
252,Conjunto de ordenanzas que regulan la Administración español,Nunca o casi nunca,Televisión,,Poco/un poco/ nada,,N.S,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,3,6,4,1,,,,,Algo,,,,Menciona,,,Menciona,,,,,De acuerdo,De acuerdo,N.S,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,,,Positivamente,Positivamente,,Sí,A favor,3,Mujer,Casado,4 hijos o más,25,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Alguna vez al mes,Trabaja por su cuenta,De 26.000 ptas a 35.000 ptas mensuales,U.C.D,Bastante,6.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,4,Levante y Murcia,2.001 a 10.000 habitantes,,,5.0,1.0,3.0,6.0,4.0,1.0,,,18-25,1.0
253,Un documento para arreglar los problemas económicos,,Televisión,,,,Menos de 5 meses,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,,,,,,,,,,,,Menciona,Menciona,,,Menciona,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,,,,,Sí,,,Hombre,Casado,3 Hijos,31,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),Hasta 6.000 ptas mensuales,U.C.D,Poco,6.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,4,Levante y Murcia,2.001 a 10.000 habitantes,,,1.0,,,,,,,,26-35,1.0
254,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,Mujer,Casado,2 Hijos,55,Estudios primarios completos. cultural general,Católico practicante,Varias veces por semana,Está jubilado y antes estaba empleado,De 12.000 ptas a 18.000 ptas mensuales,A.P,Bastante,7.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,4,Levante y Murcia,2.001 a 10.000 habitantes,Funcionarios de nivel medio,Agricultor/Propietario,3.0,,,,,,,,46-55,
255,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,4,Mujer,Casado,4 hijos o más,69,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Trabaja por su cuenta,,P.S.O.E,Bastante,6.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,7,Levante y Murcia,2.001 a 10.000 habitantes,,Industrial comercial,,,,,,,,,66-75,
256,Conjunto de ordenanzas que regulan la Administración español,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Hombre,Casado,4 hijos o más,62,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Sus labores,De 12.000 ptas a 18.000 ptas mensuales,,Poco,6.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,3,Levante y Murcia,2.001 a 10.000 habitantes,,Agricultor/Propietario,3.0,,,,,,,,56-65,
257,Un documento para arreglar los problemas económicos,,,,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,4,Mujer,Casado,3 Hijos,70,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,,Poco,5.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,8,Levante y Murcia,2.001 a 10.000 habitantes,,Agricultor/Propietario,4.0,,,,,,,,66-75,
258,Conjunto de ordenanzas que regulan la Administración español,,,Radio,,,,,,,,,,,,,,,,,,,,,Mucho,No se confía en la política/la gente está desilusionada,,,,Menciona,,Menciona,,Menciona,,,Menciona,,,,,,,,,,,,,,,,,,,,,Hombre,Casado,Ninguno,41,Estudios primarios completos. cultural general,Católico practicante,Los domingos y festivos,Trabaja por su cuenta,,U.C.D,Bastante,6.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,4,Levante y Murcia,2.001 a 10.000 habitantes,,,,,,,,,,,36-45,
259,Conjunto de principios básicos que regulan la vida de los es,,,,,Suficiente,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,Positivamente,,,,,,4,Mujer,Casado,3 Hijos,54,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está jubilado y antes trabajaba por su cuenta,,,Bastante,0.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,4,Levante y Murcia,2.001 a 10.000 habitantes,Jornaleros del campo,,,,,,,,,,46-55,
260,Un concierto que tipifican los delitos y señala las penas,Nunca o casi nunca,,,Poco/un poco/ nada,,,,,,,,,,,,,,,,,,,,,,Mucho,,,,,Menciona,,,,,Menciona,,,,,,N.S,,,,,,,,,Positivamente,Positivamente,Positivamente,,,4,Hombre,Casado,1 Hijo,70,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Trabaja por su cuenta,De 19.000 ptas a 25.000 ptas mensuales,,Bastante,0.0,1.0,De 6.000 ptas a 11.000 ptas mensuales,8,Levante y Murcia,2.001 a 10.000 habitantes,N.C,,4.0,,,,,,,,66-75,
261,Un documento para arreglar los problemas económicos,,Televisión,,,,N.S,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,,,,Menciona,,Menciona,,,Menciona,,,,,,De acuerdo,En desacuerdo,De acuerdo,N.S,,De acuerdo,En desacuerdo,De acuerdo,N.S,N.S,Positivamente,Positivamente,,,,,Sí,A favor,,Mujer,Casado,4 hijos o más,35,"Menos de estudios primarios, no sabe leer",Católico no practicante,Varias veces al año,Trabaja por su cuenta,De 19.000 ptas a 25.000 ptas mensuales,U.C.D,Bastante,0.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,6,Levante y Murcia,Menos o igual a 2.000 habitantes,Jornaleros del campo,,4.0,,,,,,,,26-35,1.0
262,Un concierto que tipifican los delitos y señala las penas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,Casado,1 Hijo,43,"Menos de estudios primarios, no sabe leer",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 19.000 ptas a 25.000 ptas mensuales,U.C.D,Poco,0.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,4,Levante y Murcia,Menos o igual a 2.000 habitantes,Obreros cualificados,,4.0,,,,,,,,36-45,
263,Conjunto de ordenanzas que regulan la Administración español,,,Radio,,,,,,,,,,,,,,,,,,,,,Mucho,,,,,,Menciona,,,,,,,,,,,,,,,,,,,,,,,,,,,Mujer,Casado,3 Hijos,57,Estudios primarios completos. cultural general,Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 6.000 ptas a 11.000 ptas mensuales,P.S.O.E,Mucha,0.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,4,Levante y Murcia,Menos o igual a 2.000 habitantes,"Vendedores, Agentes Comerciales, etc...",Agricultor/Propietario,2.0,,,,,,,,56-65,
264,Conjunto de principios básicos que regulan la vida de los es,,,Radio,,Insuficiente,,,,,,,,,,,,,,,,,,,Mucho,,,Menciona,,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,Positivamente,,,,,,,Mujer,Viudo,3 Hijos,68,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 12.000 ptas a 18.000 ptas mensuales,U.C.D,Bastante,0.0,1.0,Hasta 6.000 ptas mensuales,3,Levante y Murcia,Menos o igual a 2.000 habitantes,,Agricultor/Propietario,3.0,,,,,,,,66-75,
265,Conjunto de principios básicos que regulan la vida de los es,Sólo de vez en cuando,,,Sólo una parte,Insuficiente,,,,,,,,,,,,,,,,,,1,,Falta de información,Mucho,Menciona,,Menciona,,Menciona,Menciona,,,,,,,,,,De acuerdo,,,,,,,,Positivamente,Positivamente,Positivamente,Positivamente,,,3,Mujer,Casado,2 Hijos,63,"Menos de estudios primarios, no sabe leer",Católico no practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,,Bastante,0.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,4,Levante y Murcia,Menos o igual a 2.000 habitantes,,Agricultor/Propietario,5.0,,,,,,,1.0,56-65,
266,Conjunto de ordenanzas que regulan la Administración español,Nunca o casi nunca,Televisión,Prensa,Poco/un poco/ nada,,5 a 7 meses,No menciona,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,6,6,3,1,,,Mucho,,Mucho,,,,Menciona,,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,,Positivamente,Positivamente,Positivamente,Sí,A favor,4,Hombre,Casado,2 Hijos,35,Estudios primarios completos. cultural general,Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,P.S.O.E,Poco,0.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,4,Levante y Murcia,Menos o igual a 2.000 habitantes,,Profesional Liberal,5.0,1.0,6.0,6.0,3.0,1.0,,,26-35,1.0
267,Conjunto de principios básicos que regulan la vida de los es,,Televisión,,,Insuficiente,N.S,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,,,,,,,,,,,Menciona,,,,,,,,,,,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,N.S,Positivamente,Positivamente,Positivamente,,,,Sí,,,Mujer,Casado,2 Hijos,40,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Está jubilado y antes trabajaba por su cuenta,De 6.000 ptas a 11.000 ptas mensuales,U.C.D,Poco,0.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,3,Levante y Murcia,Menos o igual a 2.000 habitantes,,Industrial comercial,2.0,,,,,,,,36-45,1.0
268,Conjunto de ordenanzas que regulan la Administración español,Nunca o casi nunca,,N.S/N.C,Poco/un poco/ nada,,,,,,,,,,,,,,,,,,1,1,Mucho,,Mucho,,,Menciona,,,,,,,,,,,,,De acuerdo,,,,,,,,,Positivamente,Positivamente,Positivamente,,,3,Hombre,Viudo,3 Hijos,76,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Nunca,Trabaja por su cuenta,De 26.000 ptas a 35.000 ptas mensuales,U.C.D,Bastante,8.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,4,Levante y Murcia,Menos o igual a 2.000 habitantes,,,5.0,,,,,,1.0,1.0,76+,
269,Conjunto de principios básicos que regulan la vida de los es,,Televisión,,,Suficiente,8 a 11 meses,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,1,3,5,2,1,,,,,,,,Menciona,,Menciona,,,,,,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,Positivamente,Positivamente,,,,Sí,A favor,4,Hombre,Casado,3 Hijos,53,Estudios de grado medio,Católico practicante,Los domingos y festivos,Trabaja por su cuenta,De 12.000 ptas a 18.000 ptas mensuales,U.C.D,Mucha,7.0,1.0,De 12.000 ptas a 18.000 ptas mensuales,4,Levante y Murcia,Menos o igual a 2.000 habitantes,Funcionarios de nivel medio,,3.0,1.0,3.0,5.0,2.0,1.0,,,46-55,1.0
270,Conjunto de ordenanzas que regulan la Administración español,Sólo de vez en cuando,,,Poco/un poco/ nada,,,,,,,,,,,,,,,,,,5,5,,,Algo,,,,Menciona,,,,,,,,,,,,De acuerdo,,,,,,,,,Positivamente,Positivamente,Positivamente,,,4,Hombre,Soltero,4 hijos o más,60,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está jubilado y antes trabajaba por su cuenta,De 36.000 ptas a 45.000 ptas mensuales,A.P,Bastante,5.0,1.0,De 6.000 ptas a 11.000 ptas mensuales,4,Levante y Murcia,Menos o igual a 2.000 habitantes,Suboficiales de las Fuerzas Armadas,,6.0,,,,,,5.0,5.0,56-65,
271,Un documento para arreglar los problemas económicos,,Televisión,,,,N.S,No menciona,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,5,5,5,5,5,,,,,,,,,Menciona,,Menciona,,,,,,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Positivamente,,,,,,Sí,A favor,,Mujer,Casado,4 hijos o más,63,Estudios primarios completos. cultural general,Católico no practicante,Varias veces al año,Trabaja por su cuenta,,,Bastante,5.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,6,Levante y Murcia,100.001 a 400.000 habitantes,"Vendedores, Agentes Comerciales, etc...",,,5.0,5.0,5.0,5.0,5.0,,,56-65,1.0
272,Conjunto de ordenanzas que regulan la Administración español,,,N.S/N.C,,,,,,,,,,,,,,,,,,,,,Algo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hombre,Casado,3 Hijos,44,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Los domingos y festivos,Está jubilado y antes estaba empleado,De 6.000 ptas a 11.000 ptas mensuales,No votó,Poco,9.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,8,Levante y Murcia,100.001 a 400.000 habitantes,Funcionarios de nivel medio,,2.0,,,,,,,,36-45,
273,Conjunto de principios básicos que regulan la vida de los es,,,,,Suficiente,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,,Menciona,,,,,,,,,,,,,,,,,,Sin influencia,,,,,,,Hombre,Casado,3 Hijos,74,Estudios de grado medio,Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 6.000 ptas a 11.000 ptas mensuales,P.C.E.,Bastante,6.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,8,Levante y Murcia,100.001 a 400.000 habitantes,Funcionarios de nivel medio,,2.0,,,,,,,,66-75,
274,Conjunto de ordenanzas que regulan la Administración español,Nunca o casi nunca,,"Charlas con amigos, parientes, etc.",Poco/un poco/ nada,,,,,,,,,,,,,,,,,,,,Mucho,,Nada,,,Menciona,Menciona,,,,,,,,,,,,De acuerdo,,,,,,,,,Sin influencia,Sin influencia,Positivamente,,,2,Mujer,Soltero,4 hijos o más,70,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Otras religiones,Varias veces por semana,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,U.C.D,Mucha,10.0,1.0,De 19.000 ptas a 25.000 ptas mensuales,2,Levante y Murcia,100.001 a 400.000 habitantes,Obreros cualificados,,7.0,,,,,,,,66-75,
275,Conjunto de principios básicos que regulan la vida de los es,,N.S/N.C,,,Suficiente,N.S,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,Juega un papel importante,,,,,,,,,,,,,,Menciona,Menciona,,,,,,,N.S,N.S,N.S,N.S,,De acuerdo,De acuerdo,N.S,De acuerdo,De acuerdo,Sin influencia,,Positivamente,,,,No,,3,Mujer,Casado,1 Hijo,30,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico practicante,Nunca,Está jubilado y antes estaba empleado,De 46.000 ptas a 65.000 ptas mensuales,P.S.O.E,Poco,8.0,1.0,De 26.000 ptas a 35.000 ptas mensuales,5,Levante y Murcia,100.001 a 400.000 habitantes,N.C,,7.0,,,,,,,,26-35,0.0
276,Conjunto de ordenanzas que regulan la Administración español,Regularmente,,,Poco/un poco/ nada,,,,,,,,,,,,,,,,,,,,,,Mucho,Menciona,,,,Menciona,,Menciona,,,,,,,,,De acuerdo,,,,,,,,,Positivamente,Positivamente,Positivamente,,,3,Hombre,Casado,Ninguno,60,Estudios de grado medio,Católico practicante,Los domingos y festivos,Está empleado (trabaja por cuenta ajena),De 46.000 ptas a 65.000 ptas mensuales,P.S.O.E,Bastante,5.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,3,Levante y Murcia,100.001 a 400.000 habitantes,Funcionarios de nivel medio,,7.0,,,,,,,,56-65,
277,Un documento para arreglar los problemas económicos,,Televisión,Prensa,,,1 año,Juega un papel importante,Juega un papel importante,Juega un papel importante,Juega un papel importante,No menciona,No menciona,No menciona,No menciona,No menciona,No menciona,,,,,,,,Mucho,,,,,Menciona,,,,,,,,,De acuerdo,N.S,De acuerdo,En desacuerdo,,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Positivamente,Positivamente,,,,,Sí,A favor,2,Mujer,Casado,3 Hijos,43,"Menos de estudios primarios, sabe leer (menos de 6 años de e",Católico no practicante,Varias veces al año,Está jubilado y antes estaba empleado,,U.C.D,Mucha,12.0,1.0,De 36.000 ptas a 45.000 ptas mensuales,3,Levante y Murcia,100.001 a 400.000 habitantes,Obreros cualificados,,,,,,,,,,36-45,1.0
278,Conjunto de principios básicos que regulan la vida de los es,,,,,Suficiente,,,,,,,,,,,,,,,,,,,,,,,,Menciona,,Menciona,,,,,,,,,,,,,,,,,,,Positivamente,,,,,,4,Hombre,Casado,3 Hijos,73,Universitario o técnicos de grado superior,Católico practicante,Varias veces al año,Está empleado (trabaja por cuenta ajena),De 26.000 ptas a 35.000 ptas mensuales,P.S.O.E,Bastante,5.0,1.0,De 46.000 ptas a 65.000 ptas mensuales,4,Levante y Murcia,100.001 a 400.000 habitantes,Funcionarios de nivel medio,,5.0,,,,,,,,66-75,
