Ticker,ACS.MC,AENA.MC,AMS.MC,BBVA.MC,BKT.MC,CABK.MC,CLNX.MC,COL.MC,ENG.MC,FER.MC,GRF.MC,IAG.MC,IBE.MC,ITX.MC,LOG.MC,MAP.MC,MEL.MC,NTGY.MC,SAB.MC,SAN.MC,TEF.MC
GRF.MC,8.75504854350245e-05,8.981091641698087e-05,0.00011092904208545109,8.826302214079207e-05,6.477490610176504e-05,7.702590038871335e-05,0.00010066691044659114,9.342121218188553e-05,7.321613236700473e-05,8.592944748603728e-05,0.00039222784539362054,0.00011475832096823132,8.026698432581364e-05,9.750185259109192e-05,4.1351961717273314e-05,7.537070137100029e-05,0.00011384764666220462,8.716043809583736e-05,8.811950629553901e-05,0.00010284339006649575,9.707062233157621e-05
IAG.MC,0.00030940848307344247,0.0002965625686960179,0.00032596133762057987,0.0003513411627095949,0.0002765059154467445,0.0003023265449891984,7.910750554019955e-05,0.0002570798426495904,0.0001019887243295284,0.0002451600040566218,0.00011475832096823132,0.0008695185702447908,0.00011519879794847885,0.00024153069384770138,0.0001141365055505793,0.0002300554930244372,0.000464499278924414,0.00014388925197860887,0.00040214840439299485,0.00036715047096667783,0.00019786629831505014
IBE.MC,0.00010473280846734895,9.143943702202403e-05,9.77361910269514e-05,0.00011254849462023406,7.930409593094671e-05,9.00538749719333e-05,9.731062125396701e-05,8.903454748621629e-05,9.847510668118934e-05,9.938062418222322e-05,8.026698432581364e-05,0.00011519879794847885,0.00017064806709381143,9.470324873770978e-05,4.406415553229421e-05,8.874112333447075e-05,8.49042469481107e-05,0.00012043296883331796,9.791811903850299e-05,0.00011879107032853006,0.00010565585950585218
ITX.MC,0.0001617588429523136,0.00014214646173547093,0.00016511139660932441,0.00018528509497141402,0.00014273475151729354,0.00013897566938525963,8.102873679746718e-05,0.00013254604671990926,8.102618298915338e-05,0.0001382398818364963,9.750185259109192e-05,0.00024153069384770138,9.470324873770978e-05,0.00027877479340703703,6.690972469281828e-05,0.00013392089461081868,0.00020147400414818816,0.00010313110334704457,0.00017713058635742182,0.00018945119163904685,0.000130585644587534
LOG.MC,8.840710842695914e-05,8.719124541030087e-05,7.133188306462567e-05,9.900379848478044e-05,8.577976305114989e-05,9.08673148911528e-05,4.071033698082197e-05,7.452902399476905e-05,4.577719500333587e-05,6.855772058489488e-05,4.1351961717273314e-05,0.0001141365055505793,4.406415553229421e-05,6.690972469281828e-05,0.000167062460129572,7.181113562255745e-05,9.334737035297878e-05,6.019550354193128e-05,0.00010767842877482812,9.688228363743002e-05,6.160948497137863e-05
MAP.MC,0.00017381485009511534,0.00013414995453658778,0.00013219771001082617,0.0002408300937111501,0.00019302693773166557,0.00022146417592627232,6.397111862824254e-05,0.00011377112621447934,7.985562051816308e-05,0.00012076606051032124,7.537070137100029e-05,0.0002300554930244372,8.874112333447075e-05,0.00013392089461081868,7.181113562255745e-05,0.0002867104470191874,0.0001890541850346196,0.0001062709806558617,0.0002878639301521713,0.00026233660348067684,0.00017467999043638537
MEL.MC,0.0002493875265972242,0.00021889412347020145,0.00027096727577281723,0.0002767389291988553,0.00022617301495879037,0.00023986693066191763,6.359908495473194e-05,0.00020648986760398466,8.110045374233783e-05,0.0001844984608264632,0.00011384764666220462,0.000464499278924414,8.49042469481107e-05,0.00020147400414818816,9.334737035297878e-05,0.0001890541850346196,0.0006179453044215886,0.00011669453019120964,0.00032234011689062463,0.00029096250563237264,0.00016017951102972143
NTGY.MC,0.00012612133661204242,0.00011646734919889047,0.00011146382176396472,0.00013206001792779651,9.974908858798703e-05,0.00011404552732371973,8.460332132940517e-05,0.00011065811543724036,0.00012799913909048783,0.00011080802831760571,8.716043809583736e-05,0.00014388925197860887,0.00012043296883331796,0.00010313110334704457,6.019550354193128e-05,0.0001062709806558617,0.00011669453019120964,0.00022947825587665098,0.0001349966051541147,0.00014252159836564477,0.00012890191397676382
SAB.MC,0.0002731762947833649,0.0001965164538324939,0.0002156374038057483,0.0004359218410776813,0.0004040889128733632,0.00047701876879416755,2.835332559019955e-05,0.00016720238021149085,9.348898679701066e-05,0.00017153375645686609,8.811950629553901e-05,0.00040214840439299485,9.791811903850299e-05,0.00017713058635742182,0.00010767842877482812,0.0002878639301521713,0.00032234011689062463,0.0001349966051541147,0.0007686321064512191,0.0004576968805670455,0.00023569180708166631
SAN.MC,0.0002610460497133595,0.00018879468673741647,0.00020580936130685303,0.00041152371401804945,0.0003210008504889694,0.0003711248385254633,6.307817585718459e-05,0.00017649392826134432,9.694676858990609e-05,0.00017369665185204731,0.00010284339006649575,0.00036715047096667783,0.00011879107032853006,0.00018945119163904685,9.688228363743002e-05,0.00026233660348067684,0.00029096250563237264,0.00014252159836564477,0.0004576968805670455,0.00048258297011447753,0.00023830464862058235
TEF.MC,0.00015711577848342918,0.00011755665661050102,0.000122285488844505,0.00021685591954090486,0.0001601454158655239,0.00018861255180526552,7.811570507698774e-05,0.00010892446181320086,0.00010331813697238404,0.00011687377317523745,9.707062233157621e-05,0.00019786629831505014,0.00010565585950585218,0.000130585644587534,6.160948497137863e-05,0.00017467999043638537,0.00016017951102972143,0.00012890191397676382,0.00023569180708166631,0.00023830464862058235,0.00029642194218485265
